"instrument","strsiz","avgdep","nexref","ninref","year","nmajprov","ndelms","ndelsupra","type","kofecgidjsdv","naseanms","polityivsdv","avzcomplex","media"
1,205,2.4100001,7,42,2015,169,21,0,"3",13.615495,"10",6.573245,1.3486024,"2"
2,122,2.27,22,13,2012,105,4,1,"1",13.886189,"10",6.7089863,1.1771226,"0"
2.0999999,73,2.3399999,2,12,1979,63,0,0,"1",14.668732,"5",5.3300929,0.84480256,"0"
2.2,20,1.89,3,0,1981,18,0,0,"1",15.392958,"5",5.6302752,0.46781299,"0"
2.3,20,1.89,4,0,1996,18,0,0,"1",13.336548,"7",7.7403302,0.48939136,"0"
3,79,2.1600001,5,9,2010,69,12,2,"2",14.006478,"10",6.6841435,0.83168131,"1"
3.0999999,9,1.8,3,0,2010,5,0,0,"2",14.006478,"10",6.6841435,0.40256903,"0"
3.2,9,1.8,3,0,2012,5,0,0,"2",13.886189,"10",6.7089863,0.40256903,"0"
4,91,2.3199999,14,10,2009,79,1,1,"1",14.571048,"10",6.557054,1.0210561,"0"
5,222,2.22,6,7,2007,196,4,5,"3",15.11982,"10",6.8723478,1.1008,"2"
6,97,2.29,24,29,2007,80,9,0,"3",15.11982,"10",6.8723478,1.2716631,"2"
7,23,1.72,2,1,2006,18,1,0,"1",14.953968,"10",7.1497107,0.4109059,"2"
8,10,1.83,3,0,2005,6,0,0,"1",14.689552,"10",6.9283795,0.4163706,"2"
8.1000004,19,2.0599999,1,1,1969,14,2,0,"1",10.057798,"5",6.349021,0.49174985,"0"
8.1999998,5,1,2,0,1982,2,0,0,"2",15.35704,"5",5.4984193,0.015464005,"0"
8.3000002,27,1.73,3,3,1994,21,1,1,"1",12.838324,"6",7.8336878,0.47796327,"0"
9,183,2.4300001,1,25,2004,163,19,0,"3",13.484301,"10",6.7692113,1.1517134,"2"
10,81,2.25,2,2,2000,70,1,0,"3",14.213816,"10",6.770647,0.73812276,"1"
10.1,47,2.28,2,0,1997,38,1,0,"3",13.934731,"9",7.5984035,0.64144671,"2"
10.2,24,2.3,12,0,2015,9,0,0,"2",13.615495,"10",6.573245,0.76429915,"0"
10.3,6,1,3,0,2019,2,0,0,"2",13.7824,"10",7.1002188,0.053747777,"0"
11,104,2.24,12,16,1995,85,3,1,"3",12.78558,"7",7.8336878,1.0515367,"2"
13,75,2.49,1,0,1976,65,1,3,"1",13.574705,"5",5.8566203,0.74711967,"0"
13.1,6,1.5,3,0,1983,3,0,0,"2",15.293686,"5",5.247458,0.27875006,"0"
13.2,4,1,2,0,1985,2,0,0,"2",15.191296,"6",5.0609565,0.010716587,"0"
13.3,32,2.4300001,4,1,1989,4,0,0,"2",15.003252,"6",6.7439432,0.69275171,"0"
13.4,62,2.98,7,0,1992,8,0,0,"2",14.806068,"6",6.6645646,0.92356807,"0"
13.5,29,2.4100001,5,1,1997,6,0,0,"2",13.934731,"9",7.5984035,0.69761372,"0"
15.2,11,1.75,11,0,1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0"
16,103,2.52,10,13,2019,79,2,0,"1",13.7824,"10",7.1002188,1.053919,"2"
17,88,1.98,7,8,2017,80,8,0,"1",14.007591,"10",6.6538019,0.82927489,"0"
18,71,2.02,2,6,2016,60,6,1,"1",14.171517,"10",6.4104948,0.69905591,"0"
19,85,2.4100001,5,2,2015,71,1,0,"1",13.615495,"10",6.573245,0.83330905,"0"
20,31,2.1900001,6,2,2014,25,1,0,"3",13.110886,"10",6.7338285,0.67235762,"2"
21,145,2.8199999,7,11,2014,114,18,2,"1",13.110886,"10",6.7338285,1.1252418,"1"
22,64,2.0999999,8,8,2014,49,4,1,"3",13.110886,"10",6.7338285,0.82195473,"0"
22.1,47,2.25,3,1,1994,33,3,0,"3",12.838324,"6",7.8336878,0.66303939,"0"
22.200001,52,2.26,6,2,1999,36,3,0,"3",13.873234,"10",6.8451281,0.74057281,"0"
22.299999,66,2.0999999,8,8,2009,49,4,0,"3",14.571048,"10",6.557054,0.8261745,"0"
23,94,2.4000001,6,22,2012,79,5,1,"1",13.886189,"10",6.7089863,1.0388069,"1"
25,11,1,3,2,2010,7,0,0,"3",14.006478,"10",6.6841435,0.11732238,"0"
26,114,2.3099999,14,31,2010,94,7,0,"1",14.006478,"10",6.6841435,1.2108008,"1"
26.1,11,1.67,3,1,2010,6,0,0,"2",14.006478,"10",6.6841435,0.37751934,"0"
26.200001,12,1.5700001,3,2,2010,7,0,0,"2",14.006478,"10",6.6841435,0.35964921,"0"
26.299999,19,2.0699999,6,4,2017,11,1,0,"2",14.007591,"10",6.6538019,0.63256955,"0"
26.4,17,2.1500001,6,1,2018,9,0,0,"2",13.846571,"10",6.9520178,0.61388892,"0"
27,35,1.79,1,1,2009,28,13,0,"3",14.571048,"10",6.557054,0.45002759,"0"
28,86,1.86,18,1,2009,78,4,0,"1",14.571048,"10",6.557054,0.89320779,"2"
29,118,2.3199999,12,24,2009,97,6,0,"1",14.571048,"10",6.557054,1.148304,"2"
